Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:    922, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2512, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 22 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4008, rd_minus:   4246, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 23 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2770, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 24 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2246, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 25 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1858, rd_minus:   1856, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 26 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1638, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 27 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    824, rd_minus:    858, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 28 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1918, rd_minus:   1742, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 29 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1462, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 30 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1400, rd_minus:   1466, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 31 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1868, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 32 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1548, rd_minus:   1698, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 33 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2040, rd_minus:   2038, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 34 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7544, rd_minus:   7644, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 35 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7790, rd_minus:   7860, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 36 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1688, rd_minus:   1550, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 37 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5704, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 38 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  13656, rd_minus:  12016, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 39 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7416, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 40 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7832, rd_minus:  11012, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 41 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1044, rd_minus:   1288, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 42 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  17380, rd_minus:  17422, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 43 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7526, rd_minus:   7404, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 44 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3232, rd_minus:   3282, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 45 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6342, rd_minus:   3504, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 46 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    158, rd_minus:    120, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 47 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     66, rd_minus:     66, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 48 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5322, rd_minus:   7718, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 49 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7884, rd_minus:   5668, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 50 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2744, rd_minus:   5248, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 51 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3212, rd_minus:   5222, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 52 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  10548, rd_minus:  11068, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 53 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    496, rd_minus:    450, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 54 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2464, rd_minus:   1664, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 55 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3756, rd_minus:   3380, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 56 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14516, rd_minus:  10548, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 57 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2094, rd_minus:   1786, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 58 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5318, rd_minus:   5964, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 59 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1920, rd_minus:   1916, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 60 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14498, rd_minus:  14854, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 61 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6292, rd_minus:   6798, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 62 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3972, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 63 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6572, rd_minus:   6848, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 64 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1672, rd_minus:   1754, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 65 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1220, rd_minus:   1166, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 66 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3416, rd_minus:   3002, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 67 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2934, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 68 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2624, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 69 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3184, rd_minus:   3112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 70 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    116, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 71 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    296, rd_minus:    290, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 72 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     80, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 73 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1240, rd_minus:   1316, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 74 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3942, rd_minus:   3048, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 75 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2284, rd_minus:   4590, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 76 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1284, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 77 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1024, rd_minus:    988, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 78 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5888, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 79 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8166, rd_minus:   6948, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 80 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    130, rd_minus:    204, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 81 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    198, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 82 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1020, rd_minus:   1026, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 83 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    370, rd_minus:    304, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 84 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    276, rd_minus:    320, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 85 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    834, rd_minus:   6082, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 86 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    606, rd_minus:    610, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 87 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1718, rd_minus:   1584, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 88 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1686, rd_minus:   1492, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 89 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2666, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 90 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     60, rd_minus:     60, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 91 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3032, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 92 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     98, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 93 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1952, rd_minus:   2028, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 94 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5288, rd_minus:   5880, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    760, rd_minus:    688, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 96 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2720, rd_minus:   1548, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 97 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3008, rd_minus:   2842, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 98 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4964, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 99 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2600, rd_minus:   1666, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 100 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    368, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 101 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3076, rd_minus:   3014, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 102 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1806, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 103 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8832, rd_minus:   8832, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 104 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6556, rd_minus:   5278, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 105 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4080, rd_minus:   9542, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 106 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4710, rd_minus:   4582, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 107 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4512, rd_minus:   5660, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 108 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3584, rd_minus:   7222, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 109 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1198, rd_minus:   1676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 110 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  16766, rd_minus:  16766, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 111 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4096, rd_minus:   9176, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 112 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    998, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 113 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4234, rd_minus:   6024, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 114 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4274, rd_minus:  10904, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 115 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1752, rd_minus:   1240, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 116 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2566, rd_minus:   3872, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 117 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5176, rd_minus:   6192, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 118 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3162, rd_minus:   5984, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 119 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    396, rd_minus:    396, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 120 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1744, rd_minus:   1776, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 121 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  14240, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 122 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1836, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 123 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    806, rd_minus:    844, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 124 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1678, rd_minus:   1584, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 125 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    868, rd_minus:   1028, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 126 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1962, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 127 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    572, rd_minus:    352, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 128 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1960, rd_minus:   3420, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 129 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    394, rd_minus:    310, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 130 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     46, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 131 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9020, rd_minus:   7822, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 132 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    402, rd_minus:    292, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 133 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    372, rd_minus:    440, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 134 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4776, rd_minus:   4752, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 135 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5312, rd_minus:   4982, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 136 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5392, rd_minus:   5392, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 137 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    824, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 138 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1384, rd_minus:   2166, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 139 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    766, rd_minus:    670, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 140 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1944, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 141 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  21000, rd_minus:  14286, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 142 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3612, rd_minus:   3712, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 143 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3936, rd_minus:   3848, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 144 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1014, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 145 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    878, rd_minus:    858, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 146 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4264, rd_minus:   4048, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 147 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1736, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 148 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4512, rd_minus:   4772, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 149 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9286, rd_minus:  12714, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 150 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    916, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 151 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  20390, rd_minus:  20500, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 152 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8564, rd_minus:   8012, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 153 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    130, rd_minus:    304, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 154 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    782, rd_minus:    992, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 155 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7552, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 156 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2688, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 157 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    836, rd_minus:    818, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 158 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2724, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 159 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9628, rd_minus:   9512, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 160 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8588, rd_minus:   7868, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 161 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    434, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 162 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6136, rd_minus:   6350, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 163 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6736, rd_minus:   7856, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 164 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11768, rd_minus:  11768, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 165 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  11428, rd_minus:  11160, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 166 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7392, rd_minus:   7710, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 167 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14528, rd_minus:  13104, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 168 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4504, rd_minus:   5248, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 169 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2744, rd_minus:   1852, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 170 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4328, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 171 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2450, rd_minus:   2718, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 172 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4630, rd_minus:   2482, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 173 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2896, rd_minus:   1996, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 174 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4534, rd_minus:   6570, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 175 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    996, rd_minus:   2242, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 176 / 2072, payload_bits 2048, end_bits 24
